"","ID","Genotype","Species","Treatment","TotalLeafArea"
"1","T52.6","T52","aestivalis","Control",9870.327082
"2","b40-14.6","b40-14","arizonica","Control",16561.11439
"3","V60-96.7","V60-96","vulpina","Control",6372.029907
"4","NY1.5","NY1","riparia","Drought",6346.792707
"5","Vru42.5","Vru42","rupestris","Drought",1494.83
"6","9018.8","9018","acerifolia","Control",7606.237241
"7","T48.2","T48","mustangensis","Drought",954.4
"8","TXNM0821.3","TXNM0821","riparia","Drought",1742.87
"9","b42-34.9","b42-34","cinerea","Control",5880.467708
"10","TXNM0821.7","TXNM0821","riparia","Control",5499.96894
"11","9018.3","9018","acerifolia","Drought",1318.33
"12","V60-96.1","V60-96","vulpina","Drought",156.64
"13","b40-14.2","b40-14","arizonica","Drought",1198.98
"14","b42-34.1","b42-34","cinerea","Drought",719.19
"15","Vru42.6","Vru42","rupestris","Control",10496.32272
"16","T48.6","T48","mustangensis","Control",5906.512218
"17","T52.1","T52","aestivalis","Drought",1019.49
"18","b40-14.9","b40-14","arizonica","Control",15575.09477
"19","Vru42.8","Vru42","rupestris","Control",8529.627308
"20","b42-34.10","b42-34","cinerea","Control",5679.824052
"21","9018.4","9018","acerifolia","Drought",2353.282516
"22","b40-14.3","b40-14","arizonica","Drought",3763.422765
"23","9018.10.","9018","acerifolia","Control",8130.608302
"24","V60-96.2","V60-96","vulpina","Drought",271.82
"25","TXNM0821.2","TXNM0821","riparia","Drought",1834.841647
"26","NY1.8","NY1","riparia","Control",4642.821206
"27","TXNM0821.9","TXNM0821","riparia","Control",5701.947288
"28","T52.4","T52","aestivalis","Drought",1808.980616
"29","T48.8","T48","mustangensis","Control",3016.842794
"30","V60-96.6","V60-96","vulpina","Control",3941.207589
"31","NY1.2","NY1","riparia","Drought",1520.51
"32","T52.10","T52","aestivalis","Control",7265.738182
"33","b42-34.5","b42-34","cinerea","Drought",996.78
"34","T48.1","T48","mustangensis","Drought",797.84
"35","Vru42.2","Vru42","rupestris","Drought",1315.46
"36","9018.9","9018","acerifolia","Control",7502.01863
"37","NY1.4","NY1","riparia","Drought",1366.19
"38","T52.8","T52","aestivalis","Control",9182.839267
"39","TXNM0821.5","TXNM0821","riparia","Control",5713.422256
"40","NY1.10","NY1","riparia","Control",7682.946288
"41","b40-14.5","b40-14","arizonica","Drought",2702.946494
"42","Vru42.3","Vru42","rupestris","Drought",2096.875459
"43","T48.10","T48","mustangensis","Control",4996.110979
"44","9018.1","9018","acerifolia","Drought",1124.29
"45","T48.3","T48","mustangensis","Drought",1041.42
"46","T52.5","T52","aestivalis","Drought",498.04
"47","TXNM0821.1","TXNM0821","riparia","Drought",1193.22
"48","TXNM0821.8","TXNM0821","riparia","Drought",2165.060221
"49","b42-34.7","b42-34","cinerea","Control",5261.433604
"50","Vru42.9","Vru42","rupestris","Control",8751.353116
"51","b40-14.7","b40-14","arizonica","Control",15310.79234
"52","V60-96.9","V60-96","vulpina","Control",7065.503614
